time,t_min,t_max,selected_node_temperature
0,20,20,20
10,26.6955,28.0319,27.4259
20,33.7776,35.1482,34.5362
30,40.7542,42.1021,41.5012
40,47.5996,48.922,48.3325
50,54.3146,55.6119,55.0336
60,60.9017,62.1742,61.6069
70,67.3633,68.6115,68.055
80,73.7017,74.9262,74.3803
90,79.9193,81.1205,80.585
100,86.0185,87.1968,86.6715
110,92.0015,93.1573,92.642
120,97.8704,99.0042,98.4988
130,103.628,104.74,104.244
140,109.275,110.366,109.88
150,114.815,115.885,115.408
160,120.249,121.299,120.831
170,125.58,126.609,126.15
180,130.809,131.819,131.369
190,135.938,136.929,136.487
200,140.97,141.942,141.509
210,145.906,146.859,146.434
220,150.748,151.683,151.266
230,155.497,156.415,156.006
240,160.156,161.056,160.655
250,164.726,165.609,165.216
260,169.21,170.076,169.69
270,173.607,174.457,174.078
280,177.921,178.755,178.383
290,182.153,182.971,182.606
300,186.304,187.106,186.749
310,190.376,191.163,190.812
320,194.371,195.142,194.798
330,198.289,199.046,198.708
340,202.132,202.875,202.544
350,205.903,206.631,206.306
360,209.601,210.316,209.997
370,213.229,213.93,213.618
380,216.788,217.476,217.169
390,220.279,220.954,220.653
400,223.704,224.366,224.071
410,227.063,227.712,227.423
420,230.359,230.995,230.712
430,233.591,234.216,233.937
440,236.762,237.375,237.102
450,239.873,240.474,240.206
460,242.924,243.513,243.251
470,245.917,246.495,246.238
480,248.853,249.42,249.167
490,251.733,252.29,252.042
500,254.559,255.104,254.861
510,257.33,257.865,257.627
520,260.049,260.574,260.34
530,262.715,263.23,263.001
540,265.331,265.837,265.611
550,267.897,268.393,268.172
560,270.415,270.901,270.684
570,272.884,273.361,273.148
580,275.306,275.774,275.565
590,277.682,278.141,277.937
600,280.013,280.463,280.262
610,282.299,282.741,282.544
620,284.542,284.975,284.782
630,286.742,287.167,286.978
640,288.9,289.317,289.131
650,291.017,291.426,291.244
660,293.094,293.495,293.316
670,295.131,295.525,295.349
680,297.129,297.515,297.343
690,299.09,299.468,299.299
700,301.012,301.384,301.218
710,302.899,303.263,303.101
720,304.749,305.106,304.947
730,306.564,306.915,306.758
740,308.344,308.688,308.535
750,310.091,310.428,310.278
760,311.804,312.135,311.988
770,313.485,313.809,313.665
780,315.133,315.452,315.31
790,316.75,317.063,316.924
800,318.337,318.643,318.507
810,319.893,320.193,320.059
820,321.419,321.714,321.583
830,322.917,323.206,323.077
840,324.386,324.669,324.543
850,325.826,326.105,325.981
860,327.24,327.513,327.391
870,328.626,328.894,328.775
880,329.986,330.249,330.132
890,331.32,331.578,331.463
900,332.629,332.882,332.769
910,333.913,334.161,334.05
920,335.172,335.415,335.307
930,336.407,336.646,336.54
940,337.619,337.853,337.749
950,338.808,339.037,338.935
960,339.974,340.199,340.099
970,341.118,341.339,341.24
980,342.24,342.456,342.36
990,343.34,343.553,343.458
1000,344.42,344.629,344.536
1010,345.479,345.684,345.592
1020,346.518,346.719,346.629
1030,347.537,347.734,347.646
1040,348.537,348.73,348.644
1050,349.517,349.707,349.622
1060,350.479,350.665,350.582
1070,351.423,351.605,351.524
1080,352.349,352.527,352.448
1090,353.257,353.432,353.354
1100,354.147,354.319,354.243
1110,355.021,355.19,355.115
1120,355.878,356.044,355.97
1130,356.719,356.881,356.809
1140,357.544,357.703,357.632
1150,358.353,358.509,358.439
1160,359.146,359.3,359.231
1170,359.925,360.075,360.008
1180,360.688,360.836,360.77
1190,361.437,361.582,361.518
1200,362.172,362.314,362.251
1210,362.893,363.032,362.97
1220,363.6,363.737,363.676
1230,364.294,364.428,364.368
1240,364.974,365.106,365.047
1250,365.642,365.77,365.713
1260,366.296,366.423,366.366
1270,366.938,367.063,367.007
1280,367.568,367.69,367.636
1290,368.186,368.306,368.253
1300,368.793,368.91,368.858
1310,369.387,369.502,369.451
1320,369.971,370.083,370.033
1330,370.543,370.653,370.604
1340,371.104,371.213,371.164
1350,371.655,371.761,371.714
1360,372.195,372.299,372.253
1370,372.725,372.827,372.781
1380,373.244,373.345,373.3
1390,373.754,373.853,373.809
1400,374.254,374.351,374.308
1410,374.745,374.84,374.798
1420,375.226,375.319,375.278
1430,375.698,375.789,375.749
1440,376.161,376.251,376.211
1450,376.616,376.703,376.664
1460,377.061,377.147,377.109
1470,377.498,377.583,377.545
1480,377.927,378.01,377.973
1490,378.348,378.429,378.393
1500,378.76,378.84,378.804
1510,379.165,379.243,379.208
1520,379.562,379.639,379.605
1530,379.951,380.027,379.993
1540,380.333,380.407,380.374
1550,380.708,380.781,380.748
1560,381.076,381.147,381.115
1570,381.436,381.506,381.475
1580,381.79,381.859,381.828
1590,382.137,382.204,382.174
1600,382.478,382.543,382.514
1610,382.811,382.876,382.847
1620,383.139,383.202,383.174
1630,383.46,383.522,383.495
1640,383.775,383.836,383.809
1650,384.085,384.144,384.118
1660,384.388,384.446,384.42
1670,384.685,384.743,384.717
1680,384.977,385.034,385.008
1690,385.263,385.319,385.294
1700,385.544,385.598,385.574
1710,385.82,385.873,385.849
1720,386.09,386.142,386.119
1730,386.355,386.406,386.383
1740,386.615,386.665,386.643
1750,386.87,386.919,386.897
1760,387.12,387.169,387.147
1770,387.366,387.413,387.392
1780,387.606,387.653,387.632
1790,387.843,387.888,387.868
1800,388.074,388.119,388.099
1810,388.301,388.345,388.326
1820,388.524,388.567,388.548
1830,388.743,388.785,388.766
1840,388.958,388.999,388.981
1850,389.168,389.209,389.19
1860,389.374,389.414,389.396
1870,389.577,389.616,389.599
1880,389.775,389.814,389.797
1890,389.97,390.008,389.991
1900,390.161,390.198,390.182
1910,390.349,390.385,390.369
1920,390.533,390.568,390.552
1930,390.713,390.748,390.732
1940,390.89,390.924,390.909
1950,391.064,391.097,391.082
1960,391.234,391.267,391.252
1970,391.401,391.433,391.419
1980,391.565,391.597,391.582
1990,391.726,391.757,391.743
2000,391.883,391.914,391.9
2010,392.038,392.068,392.055
2020,392.19,392.219,392.206
2030,392.339,392.367,392.354
2040,392.485,392.513,392.5
2050,392.628,392.655,392.643
2060,392.768,392.795,392.783
2070,392.906,392.933,392.921
2080,393.041,393.067,393.056
2090,393.174,393.199,393.188
2100,393.304,393.329,393.318
2110,393.431,393.456,393.445
2120,393.557,393.581,393.57
2130,393.679,393.703,393.693
2140,393.8,393.823,393.813
2150,393.918,393.941,393.931
2160,394.034,394.056,394.046
2170,394.148,394.17,394.16
2180,394.259,394.281,394.271
2190,394.368,394.39,394.38
2200,394.476,394.497,394.487
2210,394.581,394.601,394.592
2220,394.684,394.704,394.695
2230,394.786,394.805,394.796
2240,394.885,394.904,394.896
2250,394.982,395.001,394.993
2260,395.078,395.096,395.088
2270,395.172,395.19,395.182
2280,395.264,395.282,395.274
2290,395.354,395.372,395.364
2300,395.443,395.46,395.452
2310,395.529,395.546,395.539
2320,395.615,395.631,395.624
2330,395.698,395.714,395.707
2340,395.78,395.796,395.789
2350,395.861,395.876,395.869
2360,395.939,395.955,395.948
2370,396.017,396.032,396.025
2380,396.093,396.107,396.101
2390,396.167,396.182,396.175
2400,396.24,396.254,396.248
2410,396.312,396.326,396.32
2420,396.382,396.396,396.39
2430,396.451,396.464,396.458
2440,396.519,396.532,396.526
2450,396.585,396.598,396.592
2460,396.65,396.663,396.657
2470,396.714,396.726,396.721
2480,396.777,396.789,396.783
2490,396.838,396.85,396.845
2500,396.898,396.91,396.905
2510,396.957,396.969,396.964
2520,397.015,397.027,397.022
2530,397.072,397.083,397.078
2540,397.128,397.139,397.134
2550,397.183,397.193,397.189
2560,397.236,397.247,397.242
2570,397.289,397.299,397.295
2580,397.341,397.351,397.346
2590,397.391,397.401,397.397
2600,397.441,397.451,397.446
2610,397.49,397.499,397.495
2620,397.538,397.547,397.543
2630,397.585,397.594,397.59
2640,397.631,397.64,397.636
2650,397.676,397.684,397.681
2660,397.72,397.729,397.725
2670,397.764,397.772,397.768
2680,397.806,397.814,397.811
2690,397.848,397.856,397.852
2700,397.889,397.897,397.893
2710,397.929,397.937,397.933
2720,397.969,397.976,397.973
2730,398.007,398.015,398.011
2740,398.045,398.053,398.049
2750,398.083,398.09,398.087
2760,398.119,398.126,398.123
2770,398.155,398.162,398.159
2780,398.19,398.197,398.194
2790,398.225,398.231,398.228
2800,398.258,398.265,398.262
2810,398.292,398.298,398.295
2820,398.324,398.33,398.328
2830,398.356,398.362,398.359
2840,398.387,398.393,398.391
2850,398.418,398.424,398.421
2860,398.448,398.454,398.451
2870,398.478,398.484,398.481
2880,398.507,398.512,398.51
2890,398.535,398.541,398.538
2900,398.563,398.569,398.566
2910,398.591,398.596,398.594
2920,398.617,398.623,398.62
2930,398.644,398.649,398.647
2940,398.67,398.675,398.672
2950,398.695,398.7,398.698
2960,398.72,398.725,398.723
2970,398.744,398.749,398.747
2980,398.768,398.773,398.771
2990,398.792,398.796,398.794
3000,398.815,398.819,398.817
3010,398.837,398.842,398.84
3020,398.859,398.864,398.862
3030,398.881,398.885,398.883
3040,398.902,398.907,398.905
3050,398.923,398.927,398.926
3060,398.944,398.948,398.946
3070,398.964,398.968,398.966
3080,398.984,398.988,398.986
3090,399.003,399.007,399.005
3100,399.022,399.026,399.024
3110,399.041,399.044,399.043
3120,399.059,399.063,399.061
3130,399.077,399.08,399.079
3140,399.095,399.098,399.096
3150,399.112,399.115,399.114
3160,399.129,399.132,399.131
3170,399.145,399.149,399.147
3180,399.162,399.165,399.163
3190,399.178,399.181,399.179
3200,399.193,399.196,399.195
3210,399.209,399.212,399.21
3220,399.224,399.227,399.225
3230,399.239,399.241,399.24
3240,399.253,399.256,399.255
3250,399.267,399.27,399.269
3260,399.281,399.284,399.283
3270,399.295,399.298,399.296
3280,399.308,399.311,399.31
3290,399.322,399.324,399.323
3300,399.334,399.337,399.336
3310,399.347,399.35,399.348
3320,399.36,399.362,399.361
3330,399.372,399.374,399.373
3340,399.384,399.386,399.385
3350,399.395,399.398,399.397
3360,399.407,399.409,399.408
3370,399.418,399.42,399.42
3380,399.429,399.432,399.431
3390,399.44,399.442,399.441
3400,399.451,399.453,399.452
3410,399.461,399.463,399.463
3420,399.472,399.474,399.473
3430,399.482,399.484,399.483
3440,399.492,399.494,399.493
3450,399.501,399.503,399.502
3460,399.511,399.513,399.512
3470,399.52,399.522,399.521
3480,399.529,399.531,399.53
3490,399.538,399.54,399.539
3500,399.547,399.549,399.548
3510,399.556,399.557,399.557
3520,399.564,399.566,399.565
3530,399.572,399.574,399.573
3540,399.581,399.582,399.581
3550,399.589,399.59,399.589
3560,399.596,399.598,399.597
3570,399.604,399.606,399.605
3580,399.612,399.613,399.612
3590,399.619,399.62,399.62
3600,399.626,399.628,399.627
3610,399.633,399.635,399.634
3620,399.64,399.642,399.641
3630,399.647,399.649,399.648
3640,399.654,399.655,399.655
3650,399.661,399.662,399.661
3660,399.667,399.668,399.668
3670,399.673,399.675,399.674
3680,399.68,399.681,399.68
3690,399.686,399.687,399.686
3700,399.692,399.693,399.692
3710,399.698,399.699,399.698
3720,399.703,399.704,399.704
3730,399.709,399.71,399.71
3740,399.715,399.716,399.715
3750,399.72,399.721,399.721
3760,399.725,399.726,399.726
3770,399.731,399.732,399.731
3780,399.736,399.737,399.736
3790,399.741,399.742,399.741
3800,399.746,399.747,399.746
3810,399.751,399.751,399.751
3820,399.755,399.756,399.756
3830,399.76,399.761,399.76
3840,399.765,399.765,399.765
3850,399.769,399.77,399.769
3860,399.773,399.774,399.774
3870,399.778,399.779,399.778
3880,399.782,399.783,399.782
3890,399.786,399.787,399.787
3900,399.79,399.791,399.791
3910,399.794,399.795,399.795
3920,399.798,399.799,399.799
3930,399.802,399.803,399.802
3940,399.806,399.806,399.806
3950,399.809,399.81,399.81
3960,399.813,399.814,399.813
3970,399.817,399.817,399.817
3980,399.82,399.821,399.82
3990,399.824,399.824,399.824
4000,399.827,399.828,399.827
4010,399.83,399.831,399.831
4020,399.833,399.834,399.834
4030,399.837,399.837,399.837
4040,399.84,399.84,399.84
4050,399.843,399.843,399.843
4060,399.846,399.846,399.846
4070,399.849,399.849,399.849
4080,399.852,399.852,399.852
4090,399.854,399.855,399.855
4100,399.857,399.858,399.857
4110,399.86,399.86,399.86
4120,399.863,399.863,399.863
4130,399.865,399.866,399.865
4140,399.868,399.868,399.868
4150,399.87,399.871,399.871
4160,399.873,399.873,399.873
4170,399.875,399.876,399.875
4180,399.878,399.878,399.878
4190,399.88,399.88,399.88
4200,399.882,399.883,399.882
4210,399.884,399.885,399.885
4220,399.887,399.887,399.887
4230,399.889,399.889,399.889
4240,399.891,399.891,399.891
4250,399.893,399.893,399.893
4260,399.895,399.895,399.895
4270,399.897,399.897,399.897
4280,399.899,399.899,399.899
4290,399.901,399.901,399.901
4300,399.903,399.903,399.903
4310,399.905,399.905,399.905
4320,399.906,399.907,399.907
4330,399.908,399.909,399.908
4340,399.91,399.91,399.91
4350,399.912,399.912,399.912
4360,399.913,399.914,399.914
4370,399.915,399.915,399.915
4380,399.917,399.917,399.917
4390,399.918,399.919,399.918
4400,399.92,399.92,399.92
4410,399.921,399.922,399.922
4420,399.923,399.923,399.923
4430,399.924,399.925,399.924
4440,399.926,399.926,399.926
4450,399.927,399.927,399.927
4460,399.929,399.929,399.929
4470,399.93,399.93,399.93
4480,399.931,399.932,399.931
4490,399.933,399.933,399.933
4500,399.934,399.934,399.934
